,Intercept,C(mvac)[T.True],C(csc)[T.True],C(mvac)[T.True]:C(csc)[T.True],collection_day,Intercept RE
y180,0.7281670088185537,0.5926749881434556,0.4977152663503561,0.9236400221457075,0.3149810639900622,0.005937024900820908
y181,0.2952203758657388,0.4332239944110249,0.1449218815952809,0.5477167482408556,0.026100371298277695,5.386710807495633e-05
y182,4.3328321834167406e-39,0.5353700854657713,0.25955079435028916,0.8380124764836152,0.01106823550148197,0.0012816030228332653
y183,1.536377821712485e-118,0.00498207767343688,0.866365473314708,0.0331353220043721,1.2203315841187682e-06,0.0036188189525165368
y184,0.26694874557903003,0.22394807109931025,0.2627565636779322,0.10717627898809456,0.6583229194341603,5.5519394273766494e-06
y185,7.087102512050102e-32,0.7918672690966013,0.2223266767161466,0.6509341020728904,4.2257026175644204e-05,2.039667024238582e-05
y186,1.0654187909735105e-28,0.5918430885332226,0.032539349116738926,0.6310660569610077,3.8554213962441615e-20,0.03303276905145901
y187,1.8762491996930233e-06,0.20288853288645314,0.5546889543388314,0.5253073951712719,5.2361958197197435e-06,5.893556244251844e-05
y188,0.10626519805801278,0.4929428792469268,0.04777121842561707,0.8435962982126004,0.0684879276984443,5.522103862912168e-05
y189,0.7390084283391145,0.34525356864648915,0.8825463839242,0.15867347336353277,0.8970949806956947,0.000733247817281398
y190,0.17641217521795527,0.019850778882928223,0.2726656446325315,0.06124722482125637,0.6845133890910529,0.09778444123605984
y191,0.6229723603172446,0.5973101136476967,0.48258416842980834,0.7156680066911892,0.5266651834930423,0.0006113052314050733
y192,1.9261106677556185e-47,0.20673735716700314,0.3609968760116179,0.7659232805276077,7.350446538276297e-06,7.806007430815061e-05
y193,1.967827870041307e-06,0.04439982730766986,0.4552444352375382,0.2315741357786495,2.3420322324519482e-18,0.999979996155094
y194,0.003497518773278737,0.24476594213369107,0.1977312756512618,0.05510427447152804,0.008265725198150208,0.03356313476538002
y195,8.559572381057784e-10,0.5073582190132211,0.6616865979643645,0.9526261743239721,1.3089863968378764e-09,0.0018966376391390972
y196,0.0005523821255445093,0.6264208775804377,0.9907103936414104,0.8640558004152156,0.3380787255005058,0.0016820673570346952
y197,0.005464434517712866,0.27694945541122273,0.7599431039489749,0.09356473459753743,3.549104482128329e-07,5.3969577599929086e-05
y198,7.570387559735792e-12,0.8047488208481587,0.27289952414069274,0.8692571266619835,1.9263960779354108e-08,0.017752932665199735
y199,0.40389374754287266,0.18327130581274143,0.44107897062957746,0.7808370065815214,0.8464953296500621,0.9999106928259819
y200,0.012029781369867,0.7733700398696479,0.9680064925778658,0.47035695020643264,0.17262009746242168,0.06971715024887842
y201,0.6646204445300816,0.514436326684828,0.31325482400498117,0.9843778903811774,2.4689662783345766e-06,1.725215366225177e-05
y202,1.2332519621158794e-10,0.3112234450182578,0.687236963105148,0.6650339872229083,0.10072609801483395,2.9069410608200025e-05
y203,0.1633266910672786,0.15364535623336822,0.45123565147790856,0.2683162698847016,0.0002027644923487104,0.0005542353599948133
y204,0.2559651893813675,0.6511535227454175,0.400207347606669,0.3946846212882966,0.029081277991330055,9.072302510176873e-05
y205,0.18294882549112335,0.2991134174296922,0.3664507502047816,0.8502337784442178,0.00038397634828036414,3.575687461298781e-05
y206,0.30946490197259335,0.6755792717894038,0.8269240195865659,0.7968700218873999,0.17636718869118995,0.9999891724947156
y207,2.3205989058837074e-07,0.7433068654674622,0.0008815694727134173,0.5336618721147259,8.914340748612727e-10,6.97061443050862e-05
y208,0.0004979962207728022,0.9903909454967726,0.10198896652833035,0.5893419087734657,0.004179159466433966,1.4224736730425048e-05
y209,0.03770364770071681,0.01263084393745378,0.8479520914593132,0.5183787760744047,0.1386410182926128,0.9999909695142933
y210,1.016090335865855e-35,0.6027442025314156,0.8455205902456335,0.8604266129854972,1.6006963164861807e-05,6.867890789833755e-05
y211,1.3630323269585493e-10,0.12463324890544643,0.09488863691292555,0.4868822921989613,6.596375250246677e-11,0.0003204128325672382
y212,0.22761791217763794,0.33710445263096045,0.8124830263156773,0.4045749250200349,1.4267904091867494e-08,0.0020511299071034714
y213,5.384711074252785e-11,0.01206181940396811,0.21091709427137117,0.16242254439559767,0.07736128390042953,0.00015712039960909645
y214,2.6131315994981255e-13,0.5213771521333346,0.5134241149255627,0.7917988894764989,0.32438556571773347,0.0030891564776919255
